unique-id,question-type,reference,notes
bq001,pressing-questions,NA,For each question they did NOT put in a reference
bq001,pathways,NA,
bq001,roadblocks,NA,
bq002,pressing-questions,NA,For each question they did NOT put in a reference
bq002,pathways,NA,
bq002,roadblocks,NA,
bq003,pressing-questions,"Moody, J. A. (2017). Residence times and alluvial architecture of a sediment superslug in response to different flow regimes. Geomorphology, 294, 40-57.",
bq003,pressing-questions,"Murphy, S. F., McCleskey, R. B., Martin, D. A., Writer, J. H., & Ebel, B. A. (2018). Fire, flood, and drought: extreme climate events alter flow paths and stream chemistry. Journal of Geophysical Research: Biogeosciences, 123(8), 2513-2526.",
bq003,pathways,"Tetzlaff, D., Carey, S. K., McNamara, J. P., Laudon, H., & Soulsby, C. (2017). The essential value of long‐term experimental data for hydrology and water management. Water Resources Research, 53(4), 2598-2604.",
bq003,pathways,"Hurrell, J. W., Holland, M. M., Gent, P. R., Ghan, S., Kay, J. E., Kushner, P. J., ... & Marshall, S. (2013). The community earth system model: a framework for collaborative research. Bulletin of the American Meteorological Society, 94(9), 1339-1360.",
bq003,roadblocks,"Ebel, B. A. (2019). Measurement method has a larger impact than spatial scale for plot‐scale field‐saturated hydraulic conductivity (Kfs) after wildfire and prescribed fire in forests. Earth Surface Processes and Landforms, 44(10), 1945-1956.",
bq003,roadblocks,"Moody, J. A., Shakesby, R. A., Robichaud, P. R., Cannon, S. H., & Martin, D. A. (2013). Current research issues related to post-wildfire runoff and erosion processes. Earth-Science Reviews, 122, 10-37.",
bq004,pressing-questions,NA,For each question they did NOT put in a reference
bq004,pathways,NA,
bq004,roadblocks,NA,
bq005,pressing-questions,"Rhoades, C. C., Nunes, J. P., Silins, U., & Doerr, S. H. (2019). The influence of wildfire on water quality and watershed processes: New insights and remaining challenges. International Journal of Wildland Fire, 28(10), 721-725.",
bq005,pressing-questions,"McWethy, D. B., Schoennagel, T., Higuera, P. E., Krawchuk, M., Harvey, B. J., Metcalf, E. C., ... & Kolden, C. (2019). Rethinking resilience to wildfire. Nature Sustainability, 2(9), 797-804.",
bq005,pathways,"Sullivan, S. M. P., & Manning, D. W. (2019). Aquatic–terrestrial linkages as complex systems: Insights and advances from network models. Freshwater Science, 38(4), 936-945.",
bq005,pathways,"Tank, S. E., Fellman, J. B., Hood, E., & Kritzberg, E. S. (2018). Beyond respiration: Controls on lateral carbon fluxes across the terrestrial‐aquatic interface. Limnology and Oceanography Letters, 3(3), 76-88.",
bq005,roadblocks,"Ice, G. G., Neary, D. G., & Adams, P. W. (2004). Effects of wildfire on soils and watershed processes. Journal of Forestry, 102(6), 16-20.",
bq006,pressing-questions,"Mack, M. C., Walker, X. J., Johnstone, J. F., Alexander, H. D., Melvin, A. M., Jean, M., & Miller, S. N. (2021). Carbon loss from boreal forest wildfires offset by increased dominance of deciduous trees. Science, 372(6539), 280-283.",
bq006,pressing-questions,"Betts, E. F., & Jones Jr, J. B. (2009). Impact of wildfire on stream nutrient chemistry and ecosystem metabolism in boreal forest catchments of interior Alaska. Arctic, Antarctic, and Alpine Research, 41(4), 407-417.",
bq006,pathways,"Walker, X. J., Rogers, B. M., Baltzer, J. L., Cumming, S. G., Day, N. J., Goetz, S. J., ... & Mack, M. C. (2018). Cross‐scale controls on carbon emissions from boreal forest megafires. Global Change Biology, 24(9), 4251-4265.",
bq006,roadblocks,NA,
bq007,pressing-questions,"Santín, C., Doerr, S. H., Preston, C. M., & González‐Rodríguez, G. (2015). Pyrogenic organic matter production from wildfires: a missing sink in the global carbon cycle. Global Change Biology, 21(4), 1621-1633.","The response just cited ""Satin et al. 2015"" so I looked through Santin's google scholar and figured this is the paper they were talking about considering the title/abstract content matched their response but not 100%...this one is checked and it is good"
bq007,pressing-questions,"Carroll, E. M., Miller, W. W., Johnson, D. W., Saito, L., Qualls, R. G., & Walker, R. F. (2007). Spatial analysis of a large magnitude erosion event following a Sierran wildfire. Journal of environmental quality, 36(4), 1105-1111.",
bq007,pathways,"Cotrufo, M. F., Boot, C., Abiven, S., Foster, E. J., Haddix, M., Reisser, M., ... & Schmidt, M. W. (2016). Quantification of pyrogenic carbon in the environment: An integration of analytical approaches. Organic Geochemistry, 100, 42-50.",
bq007,roadblocks,NA,
bq008,pressing-questions,"Naegeli, M. W., & Uehlinger, U. (1997). Contribution of the hyporheic zone to ecosystem metabolism in a prealpine gravel-bed-river. Journal of the North American Benthological Society, 16(4), 794-804.",
bq008,pressing-questions,"Wagner, S., Jaffé, R., & Stubbins, A. (2018). Dissolved black carbon in aquatic ecosystems. Limnology and Oceanography Letters, 3(3), 168-185.",
bq008,pathways,"Chen, X., Lee, R. M., Dwivedi, D., Son, K., Fang, Y., Zhang, X., ... & Scheibe, T. D. (2021). Integrating field observations and process-based modeling to predict watershed water quality under environmental perturbations. Journal of Hydrology, 602, 125762.",
bq008,roadblocks,"Bladon, K. D., Emelko, M. B., Silins, U., & Stone, M. (2014). Wildfire and the future of water supply.",
bq009,pressing-questions,"DeBano, L. F., Neary, D. G., & Ffolliott, P. F. (1998). Fire effects on ecosystems. John Wiley & Sons.",
bq009,pressing-questions,"Rillig, M. C., & Mummey, D. L. (2006). Mycorrhizas and soil structure. New phytologist, 171(1), 41-53.",
bq009,pressing-questions,"Guo, M., Gong, Z., Miao, R., Rookes, J., Cahill, D., & Zhuang, J. (2017). Microbial mechanisms controlling the rhizosphere effect of ryegrass on degradation of polycyclic aromatic hydrocarbons in an aged-contaminated agricultural soil. Soil Biology and Biochemistry, 113, 130-142.",
bq009,pathways,NA,
bq009,roadblocks,NA,
bq010,pressing-questions,NA,For each question they did NOT put in a reference
bq010,pathways,NA,
bq010,roadblocks,NA,
bq011,pressing-questions,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq011,pressing-questions,"Rodriguez-Cardona, B. M., Coble, A. A., Wymore, A. S., Kolosov, R., Podgorski, D. C., Zito, P., ... & McDowell, W. H. (2020). Wildfires lead to decreased carbon and increased nitrogen concentrations in upland arctic streams. Scientific reports, 10(1), 1-9.",
bq011,pressing-questions,"Stewart, O. C. (2002). Forgotten fires: Native Americans and the transient wilderness. University of Oklahoma Press",
bq011,pressing-questions,"Chief, K., Daigle, J. J., Lynn, K., & Whyte, K. P. (2014). Indigenous experiences in the US with climate change and environmental stewardship in the Anthropocene. USDA Forest Service, 161-176.",
bq011,pathways,"Chief, K., Daigle, J. J., Lynn, K., & Whyte, K. P. (2014). Indigenous experiences in the US with climate change and environmental stewardship in the Anthropocene. USDA Forest Service, 161-176.",
bq011,roadblocks,"Santín, C., Doerr, S. H., Merino, A., Bucheli, T. D., Bryant, R., Ascough, P., ... & Masiello, C. A. (2017). Carbon sequestration potential and physicochemical properties differ between wildfire charcoals and slow-pyrolysis biochars. Scientific reports, 7(1), 11233.",
bq012,pressing-questions,"Gounand, I., Little, C. J., Harvey, E., & Altermatt, F. (2020). Global quantitative synthesis of ecosystem functioning across climatic zones and ecosystem types. Global Ecology and Biogeography, 29(7), 1139-1176.",
bq012,pressing-questions,"Malison, R. L., & Baxter, C. V. (2010). The fire pulse: wildfire stimulates flux of aquatic prey to terrestrial habitats driving increases in riparian consumers. Canadian Journal of Fisheries and Aquatic Sciences, 67(3), 570-579.",
bq012,pathways,NA,this is a cirruculum for Oregon State University rather than a paper in a journal...getting rid of this reference and putting in NA for the reference...https://catalog.extension.oregonstate.edu/sites/catalog/files/project/pdf/em9172.pdf
bq012,roadblocks,"Simon, K. S., Chadwick, M. A., Huryn, A. D., & Valett, H. M. (2010). Stream ecosystem response to chronic deposition of N and acid at the Bear Brook Watershed, Maine. Environmental monitoring and assessment, 171, 83-92.",
bq012,roadblocks,"Pierce, J. L., Meyer, G. A., & Rittenour, T. (2011). The relation of Holocene fluvial terraces to changes in climate and sediment supply, South Fork Payette River, Idaho. Quaternary Science Reviews, 30(5-6), 628-645.","The response cited ""Pierce 2010; Quaternary Science Reviews"" but upon looking at google scholar...Pierce did not have a paper in QSS in 2010 and this was the only paper that had similar subject matter to the response and within the correct journal"
bq013,pressing-questions,"Hauer, F. R., & Spencer, C. N. (1998). Phosphorus and nitrogen dynamics in streams associated with wildfire: a study of immediate and longterm effects. International Journal of Wildland Fire, 8(4), 183-198.",
bq013,pressing-questions,"Emelko, M. B., Stone, M., Silins, U., Allin, D., Collins, A. L., Williams, C. H., ... & Bladon, K. D. (2016). Sediment‐phosphorus dynamics can shift aquatic ecology and cause downstream legacy effects after wildfire in large river systems. Global Change Biology, 22(3), 1168-1184.",
bq013,pathways,"McLauchlan, K. K., Higuera, P. E., Miesel, J., Rogers, B. M., Schweitzer, J., Shuman, J. K., ... & Watts, A. C. (2020). Fire as a fundamental ecological process: Research advances and frontiers. Journal of Ecology, 108(5), 2047-2069.",
bq013,roadblocks,NA,
bq014,pressing-questions,"Ebel, B. A., & Moody, J. A. (2017). Synthesis of soil‐hydraulic properties and infiltration timescales in wildfire‐affected soils. Hydrological Processes, 31(2), 324-340.",
bq014,pressing-questions,"Ebel, B. A., Rengers, F. K., & Tucker, G. E. (2016). Observed and simulated hydrologic response for a first‐order catchment during extreme rainfall 3 years after wildfire disturbance. Water Resources Research, 52(12), 9367-9389.",
bq014,pressing-questions,"Blount, K., Ruybal, C. J., Franz, K. J., & Hogue, T. S. (2020). Increased water yield and altered water partitioning follow wildfire in a forested catchment in the western United States. Ecohydrology, 13(1), e2170.",
bq014,pressing-questions,"Hallema, D. W., Sun, G., Bladon, K. D., Norman, S. P., Caldwell, P. V., Liu, Y., & McNulty, S. G. (2017). Regional patterns of postwildfire streamflow response in the Western United States: The importance of scale‐specific connectivity. Hydrological Processes, 31(14), 2582-2598.",We asked the surveyor and they confirmed this was the paper that they cited
bq014,pressing-questions,"Saxe, S., Hogue, T. S., & Hay, L. (2018). Characterization and evaluation of controls on post-fire streamflow response across western US watersheds. Hydrology and Earth System Sciences, 22(2), 1221-1237.",
bq014,pressing-questions,"Brookhouse, M. T., Farquhar, G. D., & Roderick, M. L. (2013). The impact of bushfires on water yield from south‐east Australia's ash forests. Water Resources Research, 49(7), 4493-4505.",
bq014,pressing-questions,"Kuczera, G. (1987). Prediction of water yield reductions following a bushfire in ash-mixed species eucalypt forest. Journal of Hydrology, 94(3-4), 215-236.",
bq014,pressing-questions,"Niemeyer, R. J., Bladon, K. D., & Woodsmith, R. D. (2020). Long‐term hydrologic recovery after wildfire and post‐fire forest management in the interior Pacific Northwest. Hydrological Processes, 34(5), 1182-1197.",
bq014,pressing-questions,"Jones, J. B., & Mulholland, P. J. (1999). Streams and ground waters. Elsevier.","The response cites Jones & Mulholland 2000, this is the only citation that comes close to the subject matter in the response"
bq014,pressing-questions,"Battin, T. J., Kaplan, L. A., Findlay, S., Hopkinson, C. S., Marti, E., Packman, A. I., ... & Sabater, F. (2008). Biophysical controls on organic carbon fluxes in fluvial networks. Nature geoscience, 1(2), 95-100.",
bq014,pressing-questions,"Fleckenstein, J. H., Krause, S., Hannah, D. M., & Boano, F. (2010). Groundwater-surface water interactions: New methods and models to improve understanding of processes and dynamics. Advances in Water Resources, 33(11), 1291-1295.",
bq014,pressing-questions,"Boano, F., Harvey, J. W., Marion, A., Packman, A. I., Revelli, R., Ridolfi, L., & Wörman, A. (2014). Hyporheic flow and transport processes: Mechanisms, models, and biogeochemical implications. Reviews of Geophysics, 52(4), 603-679.",
bq014,pressing-questions,"Hockaday, W. C., Grannas, A. M., Kim, S., & Hatcher, P. G. (2007). The transformation and mobility of charcoal in a fire-impacted watershed. Geochimica et Cosmochimica Acta, 71(14), 3432-3445.",
bq014,pressing-questions,"Doerr, S. H., Santín, C., Merino, A., Belcher, C. M., & Baxter, G. (2018). Fire as a removal mechanism of pyrogenic carbon from the environment: effects of fire and pyrogenic carbon characteristics. Frontiers in Earth Science, 127.","Response cites ""Doerr et al. 2018"", this guy cranks out papers! this paper seemed to allign most with the response....cross checked this with the V1 zotero database"
bq014,pressing-questions,"Santín, C., Otero, X. L., Doerr, S. H., & Chafer, C. J. (2018). Impact of a moderate/high-severity prescribed eucalypt forest fire on soil phosphorous stocks and partitioning. Science of the Total Environment, 621, 1103-1114.",
bq014,pathways,"Lang, D. J., Wiek, A., Bergmann, M., Stauffacher, M., Martens, P., Moll, P., ... & Thomas, C. J. (2012). Transdisciplinary research in sustainability science: practice, principles, and challenges. Sustainability science, 7, 25-43.",
bq014,pathways,"Yates, K. K., Turley, C., Hopkinson, B. M., Todgham, A. E., Cross, J. N., Greening, H., ... & Johnson, Z. (2015). Transdisciplinary science: A path to understanding the interactions among ocean acidification, ecosystems, and society. Oceanography, 28(2), 212-225.",Found this one in the other database.
bq014,roadblocks,NA,
bq015,pressing-questions,"Marlon, J. R., Kelly, R., Daniau, A. L., Vannière, B., Power, M. J., Bartlein, P., ... & Zhihai, T. (2016). Reconstructions of biomass burning from sediment-charcoal records to improve data–model comparisons. Biogeosciences, 13(11), 3225-3244.",
bq015,pressing-questions,"Masiello, C. A. (2004). New directions in black carbon organic geochemistry. Marine chemistry, 92(1-4), 201-213.",
bq015,pressing-questions,"Abney, R. B., Kuhn, T. J., Chow, A., Hockaday, W., Fogel, M. L., & Berhe, A. A. (2019). Pyrogenic carbon erosion after the Rim Fire, Yosemite National Park: the role of burn severity and slope. Journal of Geophysical Research: Biogeosciences, 124(2), 432-449.",
bq015,pressing-questions,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq015,pressing-questions,"Santos, F., Wymore, A. S., Jackson, B. K., Sullivan, S. M. P., McDowell, W. H., & Berhe, A. A. (2019). Fire severity, time since fire, and site-level characteristics influence streamwater chemistry at baseflow conditions in catchments of the Sierra Nevada, California, USA. Fire Ecology, 15(1), 1-15.",
bq015,pathways,"Belcher, C. M. (Ed.). (2013). Fire phenomena and the Earth system: an interdisciplinary guide to fire science. John Wiley & Sons.",
bq015,roadblocks,"Hawthorne, D., et al. (2018) Global Modern Charcoal Dataset (GMCD): A tool for exploring proxy-fire linkages and spatial patterns of biomass burning. Quaternary International 488, 3-17.",
bq016,pressing-questions,"Pellegrini, A. F., Ahlström, A., Hobbie, S. E., Reich, P. B., Nieradzik, L. P., Staver, A. C., ... & Jackson, R. B. (2018). Fire frequency drives decadal changes in soil carbon and nitrogen and ecosystem productivity. Nature, 553(7687), 194-198.",
bq016,pressing-questions,"Wright, J., DeLaMater, D., Simha, A., Ury, E., & Ficken, C. (2021). Changes in prescribed fire frequency alter ecosystem carbon dynamics. Ecosystems, 24, 640-651.",
bq016,pressing-questions,"Niemeyer, R. J., Bladon, K. D., & Woodsmith, R. D. (2020). Long‐term hydrologic recovery after wildfire and post‐fire forest management in the interior Pacific Northwest. Hydrological Processes, 34(5), 1182-1197.",
bq016,pressing-questions,"Jones, M. W., Coppola, A. I., Santín, C., Dittmar, T., Jaffé, R., Doerr, S. H., & Quine, T. A. (2020). Fires prime terrestrial organic carbon for riverine export to the global oceans. Nature communications, 11(1), 2791.",
bq016,pressing-questions,"Jones, M. W., Santín, C., van der Werf, G. R., & Doerr, S. H. (2019). Global fire emissions buffered by the production of pyrogenic carbon. Nature Geoscience, 12(9), 742-747",
bq016,pathways,"Zimmerman, A. R., & Mitra, S. (2017). Trial by Fire: On the Terminology and Methods Used in Pyrogenic Organic Carbon Research. Frontiers in Earth Science, 5. https://www.frontiersin.org/articles/10.3389/feart.2017.00095",The response cited Zimmerman & Mitra 2019 but this is the only paper these two have together that matches the context from the survey....cross checked this with the V1 zotero database
bq016,pathways,"Keeley, J. E. (2009). Fire intensity, fire severity and burn severity: a brief review and suggested usage. International journal of wildland fire, 18(1), 116-126.",
bq016,roadblocks,"Luo, Y., Melillo, J., Niu, S., Beier, C., Clark, J. S., Classen, A. T., ... & Torn, M. S. (2011). Coordinated approaches to quantify long‐term ecosystem dynamics in response to global change. Global Change Biology, 17(2), 843-854.",
bq017,pressing-questions,NA,For each question they did NOT put in a reference
bq017,pathways,NA,
bq017,roadblocks,NA,
bq018,pressing-questions,"McCullough, I. M., Cheruvelil, K. S., Lapierre, J. F., Lottig, N. R., Moritz, M. A., Stachelek, J., & Soranno, P. A. (2019). Do lakes feel the burn? Ecological consequences of increasing exposure of lakes to fire in the continental United States. Global Change Biology, 25(9), 2841-2854.",
bq018,pressing-questions,"Bodí, M. B., Martin, D. A., Balfour, V. N., Santín, C., Doerr, S. H., Pereira, P., ... & Mataix-Solera, J. (2014). Wildland fire ash: production, composition and eco-hydro-geomorphic effects. Earth-Science Reviews, 130, 103-127.",
bq018,pathways,"Rhoades, C. C., Chow, A. T., Covino, T. P., Fegel, T. S., Pierson, D. N., & Rhea, A. E. (2019). The legacy of a severe wildfire on stream nitrogen and carbon in headwater catchments. Ecosystems, 22, 643-657.",
bq018,roadblocks,"Vaughan, M. C., Bowden, W. B., Shanley, J. B., Vermilyea, A., Sleeper, R., Gold, A. J., ... & Schroth, A. W. (2017). High‐frequency dissolved organic carbon and nitrate measurements reveal differences in storm hysteresis and loading in relation to land cover and seasonality. Water Resources Research, 53(7), 5345-5363.",
bq019,pressing-questions,NA,For each question they did NOT put in a reference
bq019,pathways,NA,
bq019,roadblocks,NA,
bq020,pressing-questions,NA,For each question they did NOT put in a reference
bq020,pathways,NA,
bq020,roadblocks,NA,
bq021,pressing-questions,NA,For each question they did NOT put in a reference
bq021,pathways,NA,
bq021,roadblocks,NA,
bq022,pressing-questions,"Boisramé, G., Thompson, S., Collins, B., & Stephens, S. (2017). Managed wildfire effects on forest resilience and water in the Sierra Nevada. Ecosystems, 20, 717-732.",
bq022,pressing-questions,"Kennedy, M. C., Bart, R. R., Tague, C. L., & Choate, J. S. (2021). Does hot and dry equal more wildfire? Contrasting short‐and long‐term climate effects on fire in the Sierra Nevada, CA. Ecosphere, 12(7), e03657.",
bq022,pressing-questions,"McKenzie, D., & Littell, J. S. (2017). Climate change and the eco‐hydrology of fire: Will area burned increase in a warming western USA?. Ecological applications, 27(1), 26-36.",
bq022,pressing-questions,"Wine, M. L., Cadol, D., & Makhnin, O. (2018). In ecoregions across western USA streamflow increases during post-wildfire recovery. Environmental Research Letters, 13(1), 014010.",
bq022,pathways,"Kennedy, Maureen C.; McKenzie, Donald; Tague, Christina; Dugger, Aubrey L. 2017. Balancing uncertainty and complexity to incorporate fire spread in an eco-hydrological model. International Journal of Wildland Fire. 26(8): 706-718. https://doi.org/10.1071/WF16169.",
bq022,roadblocks,NA,
bq023,pressing-questions,"Rhoades, C. C., Nunes, J. P., Silins, U., & Doerr, S. H. (2019). The influence of wildfire on water quality and watershed processes: New insights and remaining challenges. International Journal of Wildland Fire, 28(10), 721-725.",
bq023,pressing-questions,"Woods, S. W., & Balfour, V. N. (2008). The effect of ash on runoff and erosion after a severe forest wildfire, Montana, USA. International Journal of Wildland Fire, 17(5), 535-548.",
bq023,pathways,"Bromham, L., Dinnage, R., & Hua, X. (2016). Interdisciplinary research has consistently lower funding success. Nature, 534(7609), 684-687.",
bq023,roadblocks,"Allison, R. S., Johnston, J. M., Craig, G., & Jennings, S. (2016). Airborne optical and thermal remote sensing for wildfire detection and monitoring. Sensors, 16(8), 1310.",
bq023,roadblocks,"Brewer, S. K., Worthington, T. A., Mollenhauer, R., Stewart, D. R., McManamay, R. A., Guertault, L., & Moore, D. (2018). Synthesizing models useful for ecohydrology and ecohydraulic approaches: An emphasis on integrating models to address complex research questions. Ecohydrology, 11(7), e1966",
bq023,roadblocks,"Thompson, M. P., & Calkin, D. E. (2011). Uncertainty and risk in wildland fire management: a review. Journal of environmental management, 92(8), 1895-1909",
bq024,pressing-questions,NA,For each question they did NOT put in a reference
bq024,pathways,NA,
bq024,roadblocks,NA,
bq025,pressing-questions,"Bostick, K. W., Zimmerman, A. R., Goranov, A. I., Mitra, S., Hatcher, P. G., & Wozniak, A. S. (2021). Biolability of Fresh and Photodegraded Pyrogenic Dissolved Organic Matter From Laboratory‐Prepared Chars. Journal of Geophysical Research: Biogeosciences, 126(5), e2020JG005981.",
bq025,pressing-questions,"Sigmund, G., Santín, C., Pignitter, M., Tepe, N., Doerr, S. H., & Hofmann, T. (2021). Environmentally persistent free radicals are ubiquitous in wildfire charcoals and remain stable for years. Communications Earth & Environment, 2(1), 68.",
bq025,pathways,NA,
bq025,roadblocks,NA,
